,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
0,0029601071,1610612745,HOU,Houston,53,Mario Elie,Mario,F,,30:10,2.0,2.0,0.0,2.0,13.0,15.0,7.0,26.0,0.0,0.0,6.0,0.0
1,0029601071,1610612745,HOU,Houston,787,Charles Barkley,Charles,F,,37:02,2.0,2.0,0.0,2.0,13.0,16.0,5.0,28.0,0.0,1.0,5.0,0.0
2,0029601071,1610612745,HOU,Houston,165,Hakeem Olajuwon,Hakeem,C,,40:58,6.0,2.0,0.0,10.0,11.0,16.0,10.0,28.0,4.0,1.0,4.0,0.0
3,0029601071,1610612745,HOU,Houston,17,Clyde Drexler,Clyde,G,,32:48,6.0,0.0,5.0,4.0,9.0,15.0,10.0,28.0,0.0,1.0,3.0,0.0
4,0029601071,1610612745,HOU,Houston,1074,Matt Maloney,Matt,G,,36:08,0.0,0.0,0.0,0.0,9.0,16.0,10.0,26.0,0.0,0.0,0.0,0.0
5,0029601071,1610612745,HOU,Houston,970,Othella Harrington,Othella,,,17:17,0.0,0.0,0.0,0.0,6.0,8.0,5.0,12.0,1.0,0.0,3.0,0.0
6,0029601071,1610612745,HOU,Houston,9,Sedale Threatt,Sedale,,,11:52,0.0,0.0,0.0,0.0,6.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0
7,0029601071,1610612745,HOU,Houston,698,Eddie Johnson,Eddie,,,25:49,5.0,11.0,0.0,4.0,6.0,10.0,3.0,12.0,0.0,2.0,1.0,0.0
8,0029601071,1610612745,HOU,Houston,672,Matt Bullard,Matt,,,7:57,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
9,0029601071,1610612745,HOU,Houston,279,Charles Jones,Charles,,DNP - Coach's Decision,,,,,,,,,,,,,
10,0029601071,1610612745,HOU,Houston,988,Randy Livingston,Randy,,DNP - Coach's Decision,,,,,,,,,,,,,
11,0029601071,1610612745,HOU,Houston,788,Kevin Willis,Kevin,,NOT WITH TEAM - Strained R. hip muscle,,,,,,,,,,,,,
12,0029601071,1610612758,SAC,Sacramento,182,Billy Owens,Billy,F,,19:08,2.0,6.0,0.0,6.0,14.0,5.0,3.0,8.0,0.0,1.0,3.0,0.0
13,0029601071,1610612758,SAC,Sacramento,258,Brian Grant,Brian,F,,34:54,7.0,4.0,0.0,6.0,19.0,9.0,3.0,18.0,0.0,1.0,5.0,0.0
14,0029601071,1610612758,SAC,Sacramento,178,Olden Polynice,Olden,C,,35:44,0.0,0.0,7.0,8.0,18.0,13.0,5.0,20.0,2.0,0.0,5.0,0.0
15,0029601071,1610612758,SAC,Sacramento,782,Mitch Richmond,Mitch,G,,34:52,0.0,2.0,3.0,6.0,19.0,14.0,5.0,20.0,1.0,1.0,3.0,0.0
16,0029601071,1610612758,SAC,Sacramento,310,Bobby Hurley,Bobby,G,,31:10,0.0,0.0,0.0,0.0,19.0,12.0,3.0,18.0,0.0,0.0,3.0,0.0
17,0029601071,1610612758,SAC,Sacramento,722,Corliss Williamson,Corliss,,,26:51,4.0,8.0,0.0,8.0,7.0,10.0,2.0,10.0,0.0,1.0,3.0,0.0
18,0029601071,1610612758,SAC,Sacramento,63,Michael Smith,Michael,,,22:46,0.0,0.0,0.0,0.0,5.0,10.0,2.0,6.0,1.0,1.0,4.0,0.0
19,0029601071,1610612758,SAC,Sacramento,51,Mahmoud Abdul-Rauf,Mahmoud,,,18:51,0.0,0.0,0.0,0.0,2.0,7.0,2.0,8.0,0.0,0.0,2.0,0.0
20,0029601071,1610612758,SAC,Sacramento,1089,Kevin Salvadori,Kevin,,,2:36,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
21,0029601071,1610612758,SAC,Sacramento,333,Kevin Gamble,Kevin,,,13:08,2.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0
22,0029601071,1610612758,SAC,Sacramento,721,Tyus Edney,Tyus,,DNP - Coach's Decision,,,,,,,,,,,,,
0,0029601053,1610612758,SAC,Sacramento,182,Billy Owens,Billy,F,,24:57,2.0,0.0,0.0,8.0,16.0,9.0,9.0,28.0,0.0,1.0,2.0,0.0
1,0029601053,1610612758,SAC,Sacramento,258,Brian Grant,Brian,F,,26:26,2.0,0.0,2.0,6.0,9.0,6.0,15.0,30.0,2.0,1.0,3.0,0.0
2,0029601053,1610612758,SAC,Sacramento,178,Olden Polynice,Olden,C,,31:27,0.0,2.0,2.0,4.0,18.0,13.0,11.0,32.0,1.0,1.0,4.0,0.0
3,0029601053,1610612758,SAC,Sacramento,782,Mitch Richmond,Mitch,G,,24:00,5.0,3.0,3.0,4.0,13.0,11.0,8.0,28.0,1.0,1.0,3.0,0.0
4,0029601053,1610612758,SAC,Sacramento,51,Mahmoud Abdul-Rauf,Mahmoud,G,,31:11,4.0,0.0,0.0,0.0,18.0,9.0,12.0,32.0,0.0,0.0,3.0,0.0
5,0029601053,1610612758,SAC,Sacramento,63,Michael Smith,Michael,,,19:08,0.0,0.0,0.0,2.0,19.0,4.0,9.0,18.0,0.0,0.0,3.0,0.0
6,0029601053,1610612758,SAC,Sacramento,310,Bobby Hurley,Bobby,,,15:45,1.0,0.0,0.0,0.0,7.0,6.0,9.0,18.0,0.0,0.0,0.0,0.0
7,0029601053,1610612758,SAC,Sacramento,722,Corliss Williamson,Corliss,,,23:03,0.0,4.0,0.0,8.0,9.0,6.0,12.0,22.0,1.0,1.0,2.0,0.0
8,0029601053,1610612758,SAC,Sacramento,333,Kevin Gamble,Kevin,,,21:05,0.0,0.0,3.0,0.0,7.0,4.0,9.0,16.0,1.0,0.0,3.0,0.0
9,0029601053,1610612758,SAC,Sacramento,1489,Lionel Simmons,Lionel,,,12:37,3.0,0.0,0.0,2.0,7.0,4.0,8.0,16.0,0.0,3.0,1.0,0.0
10,0029601053,1610612758,SAC,Sacramento,721,Tyus Edney,Tyus,,,10:21,0.0,2.0,0.0,0.0,2.0,3.0,3.0,10.0,0.0,1.0,0.0,0.0
11,0029601053,1610612758,SAC,Sacramento,190,Duane Causwell,Duane,,DNP - Coach's Decision,,,,,,,,,,,,,
12,0029601053,1610612762,UTA,Utah,935,Bryon Russell,Bryon,F,,24:00,5.0,4.0,3.0,6.0,7.0,7.0,3.0,20.0,0.0,1.0,2.0,0.0
13,0029601053,1610612762,UTA,Utah,252,Karl Malone,Karl,F,,28:02,9.0,2.0,2.0,12.0,7.0,9.0,3.0,20.0,1.0,1.0,2.0,0.0
14,0029601053,1610612762,UTA,Utah,731,Greg Ostertag,Greg,C,,27:37,2.0,3.0,0.0,6.0,7.0,7.0,3.0,22.0,3.0,0.0,4.0,0.0
15,0029601053,1610612762,UTA,Utah,204,Jeff Hornacek,Jeff,G,,24:00,2.0,2.0,3.0,2.0,7.0,7.0,3.0,20.0,0.0,0.0,0.0,0.0
16,0029601053,1610612762,UTA,Utah,304,John Stockton,John,G,,22:10,0.0,0.0,2.0,4.0,8.0,3.0,3.0,16.0,0.0,0.0,2.0,0.0
17,0029601053,1610612762,UTA,Utah,458,Howard Eisley,Howard,,,25:50,0.0,0.0,0.0,4.0,9.0,8.0,7.0,18.0,1.0,0.0,1.0,0.0
18,0029601053,1610612762,UTA,Utah,1000,Shandon Anderson,Shandon,,,19:04,5.0,0.0,5.0,4.0,9.0,4.0,2.0,12.0,0.0,1.0,1.0,0.0
19,0029601053,1610612762,UTA,Utah,228,Adam Keefe,Adam,,,21:05,0.0,2.0,0.0,2.0,10.0,2.0,7.0,14.0,2.0,0.0,0.0,0.0
20,0029601053,1610612762,UTA,Utah,156,Antoine Carr,Antoine,,,16:31,0.0,0.0,2.0,4.0,6.0,4.0,2.0,8.0,2.0,1.0,2.0,0.0
21,0029601053,1610612762,UTA,Utah,323,Greg Foster,Greg,,,16:43,2.0,2.0,2.0,4.0,10.0,2.0,7.0,12.0,0.0,0.0,3.0,0.0
22,0029601053,1610612762,UTA,Utah,356,Chris Morris,Chris,,,9:25,0.0,0.0,2.0,0.0,4.0,2.0,5.0,4.0,0.0,0.0,2.0,0.0
23,0029601053,1610612762,UTA,Utah,1128,Stephen Howard,Stephen,,,5:33,0.0,0.0,0.0,2.0,1.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0
